Athinai,Greece,3027331,Y,23.65486336,38.1216011,582,259,LGAV,Atenas,Grecia,,17   LKPR   Praga               Checa           prag,,,,582,259
Budapest,Hungary,2565000,Y,19.09424973,47.51462555,569,223,LHBP,Hungria,Budapest,,18   LDZA   Zagreb              Croacia         zagr,,,,569,223
Reykjavik,Iceland,137941,Y,-21.3368206,64.31326294,454,135,BIKF,Reykjavik,Islandia,,19   EKCH   Copenhague          Dinamarca       cope,,,,454,135
Dublin,Ireland,1140000,Y,-6.25734663,53.34156036,498,196,EIDW,Dublin,Irlanda (Eire),,20   LZIB   Bratislava          Eslovaquia      brat,,,,498,196
Roma,Italy,3175000,Y,12.52000046,41.88000107,551,246,LIRA,Roma,Italia,,21   LJLJ   Liubliana           Eslovenia       liub,,,,551,246
Luxembourg,Luxembourg,133000,Y,6.273255825,49.74040604,533,213,ELLX,Luxemburgo,Luxemburgo,,22   LEMD   Madrid              España          madr,,,,533,213
Tombouctoo,Mali,31925,N,-3.00999999,16.76000023,506,328,,,,,23   EETN   Tallin              Estonia         tall,,,,506,328
Amsterdam,Netherlands,1860000,N,4.894833088,52.37304306,530,202,EHAM,Amsterdam,Holanda,,24   EFHK   Helsinki            Finlandia       hels,,,,530,202
Asuncion,Paraguay,700000,Y,-57.66999817,-25.21999931,352,450,SGAS,Asunción,Paraguay,,25   LFPG   Paris               Francia         pari,,,,352,450
Lima,Peru,4344000,Y,-76.82355499,-12.06799603,296,410,SPIM,Lima,Perú,,26   LGAV   Atenas              Grecia          aten,,,,296,410
Lisboa,Portugal,2250000,Y,-9.130000114,38.72999954,489,257,LPPT,Lisboa,Portugal,,27   EHAM   Amsterdam           Holanda         amst,,,,489,257
Bratislava,Slovakia,435499,Y,17.26980591,48.27450943,565,220,LZIB,Batislava,Eslovaquia,,28   LHBP   Budapest            Hungría         buda,,,,565,220
Ljubljana,Slovenia,233200,Y,14.6396122,46.06830215,557,229,LJLJ,Liubliana,Eslovenia,,29   EIDW   Dublin              Irlanda (Eire)  dubl,,,,557,229
Madrid,Spain,4650000,Y,-3.690969467,40.44221878,505,250,LEMD,Madrid,España,,30   BIKF   Reykjavik           Islandia        reyk,,,,505,250
Montevideo,Uruguay,1550000,Y,-56.16999817,-34.91999817,356,481,SUUA,Montevideo,Uruguay,,31   LIRA   Roma                Italia          roma,,,,356,481
Caracas,Venezuela,3600000,Y,-66.89828491,10.49604893,325,346,SVMI,Caracas,Venezuela,,32   EVRA   Riga                Letonia         riga,,,,325,346
Bern,Switzerland,298800,Y,7.445736408,46.94820786,536,225,LSZB,Berna,Suiza,,33   ELLX   Luxemburgo          Luxemburgo      luxe,,,,536,225
Estocolmo,Suecia,,,18.07062149,59.3252812,565,165,ESKN,Estocolmo,Suecia,,34   LMML   LaValletta          Malta           lava,,,,565,165
Bruselas,Belgica,,,4.351787456,50.8485484,526,208,EBCI,Bruselas,Belgica,,35   ENGM   Oslo                Noruega         oslo,,,,526,208
Riga ,Letonia,,,24.10125732,56.95096613,584,179,EVRA,Riga,Letonia,,36   EPMO   Varsovia            Polonia         vars,,,,584,179
Lavalletta,Malta,,,14.51791763,35.90226083,556,266,LMML,Lavalletta,Malta,,37   LPPT   Lisboa              Portugal        lisb,,,,556,266
Oslo,Noruega,,,10.71716309,59.91923685,546,162,ENGM,Oslo,Noruega,,38   EGLL   Londres             Reino Unido     lond,,,,546,162
Varsovia,Polonia,,,20.99487305,52.24125615,575,202,EPMO,Varsovia,Polonia,,39   ESKN   Estocolmo           Suecia          esto,,,,575,202
Londres,Reino Unido,,,-0.129089355,51.51557978,515,205,EGLL,Londres,Reino Unido,,40   LSZB   Berna               Suiza           bern,,,,515,205
Viena,Austria,,,16.35864258,48.21735291,563,220,LOWW,Viena,Austria,,,,,,563,220
Copenague,Dinamarca,,,12.55737305,55.69616389,550,184,EKCH,Copenhague,Dinamarca,,,,,,550,184
