Tirane,Albania,210800,Y,19.83180428,41.33165359,570,246,LATI,Tirana,Albania,,01   SKBO   Bogota              Colombia        bogo ,,,,570,246
Buenos Aires,Argentina,10750000,Y,-58.40959167,-34.66540146,349,481,SABE,Buenos Aires,Argentina,,02   SEQM   Quito               Ecuador         quit,,,,349,481
Linz,Austria,335000,N,14.29390144,48.29759598,556,218,,,,,03   SVMI   Caracas             Venezuela       cara,,,,556,218
La Paz,Bolivia,992592,Y,-68.14624786,-16.49900627,321,422,SLLP,La Paz,Bolivia,,04   SBBR   Brasilia            Brasil          bras,,,,321,422
Brasilia,Brazil,1567709,Y,-47.89774704,-15.79210949,380,421,SBBR,Brasilia,Brazil,,05   SPIM   Lima                Perú            lima,,,,380,421
Sofiya,Bulgaria,1205000,Y,23.33187103,42.70726395,581,240,LBSF,Sofia,Bulgaria,,06   SLLP   La Paz              Bolivia         lapa,,,,581,240
Minsk,Byelarus,1650000,Y,27.57556725,53.89993668,593,194,UMMS,Minks,Bielorrusia,,07   SCEL   Santiago de Chile   Chile           sant,,,,593,194
Ottawa,Canada,819263,Y,-75.65074921,45.37421799,300,230,,,,,08   SABE   Buenos Aires        Argentina       buen,,,,300,230
Santiago,Chile,4100000,Y,-70.64751434,-33.47502518,314,477,SCEL,Santiago de Chile,Chile,,09   SGAS   Asunción            Paraguay        asun,,,,314,477
Bogota,Colombia,4260000,Y,-74.080513,4.630219936,305,362,SKBO,Bogota,Colombia,,10   SUAA   Motenvideo          Uruguay         mont,,,,305,362
Zagreb,Croatia,697925,Y,15.96438599,45.8070755,560,229,LDZA,Zagreb,Croacia,,,,,,560,229
Havana,Cuba,2125000,Y,-82.4164505,23.0489521,282,309,,,,,       Europa                   ,,,,282,309
Praha,Czech Repub,1325000,Y,14.45652008,50.105896,556,212,LKPR,Praga,Checa,,11   LATI   Tirana              Albania         tira,,,,556,212
Quito,Ecuador,1050000,Y,-78.52428436,-0.229498133,292,377,SEQM,Quito,Ecuador,,12   EDDI   Berlin              Alemania        berl,,,,292,377
Tallinn,Estonia,482000,Y,24.75205612,59.27757263,585,166,EETN,Tallin,Estonia,,13   LOWW   Viena               Austria         vien,,,,585,166
Helsinki,Finland,900000,Y,24.97669983,60.19642258,587,158,EFHK,Helsinki,Estonia,,14   EBCI   Bruselas            Belgica         brus,,,,587,158
Paris,France,9775000,Y,2.432832718,48.88155365,522,217,LFPG,Paris,Francia,,15   UMMS   Minsk               Bielorrusia     mins,,,,522,217
Berlin,Germany,5061248,Y,13.32757282,52.5162735,553,201,EDDI,Berlin,Alemania,,16   LBSF   Sofia               Bulgaria        sofi,,,,553,201
